date,open,high,low,close,volume
2021-04-07,5005.0,5005.0,5005.0,5005.0,75.0
2021-04-08,5005.0,5380.0,5005.0,5380.0,206.0
2021-04-09,5010.0,5250.0,5010.0,5250.0,301.0
2021-04-15,5250.0,5250.0,5250.0,5250.0,5.0
2021-04-21,5220.0,5220.0,5220.0,5220.0,20.0
2021-04-22,5300.0,5300.0,5300.0,5300.0,21.0
2021-04-26,5380.0,5500.0,5380.0,5500.0,65.0
2021-04-27,5400.0,5910.0,5400.0,5910.0,159.0
2021-04-28,5550.0,5550.0,5550.0,5550.0,95.0
2021-04-29,5135.0,5135.0,5135.0,5135.0,7.0
2021-04-30,5105.0,5130.0,5105.0,5130.0,1493.0
2021-05-03,5180.0,5180.0,5135.0,5135.0,163.0
2021-05-04,5180.0,5450.0,5180.0,5450.0,16.0
2021-05-07,5425.0,5425.0,5425.0,5425.0,5.0
2021-05-10,5390.0,5390.0,5255.0,5255.0,155.0
2021-05-11,5400.0,5400.0,5400.0,5400.0,1.0
2021-05-12,5400.0,5400.0,5400.0,5400.0,1.0
2021-05-14,5300.0,5300.0,5300.0,5300.0,1.0
2021-05-17,5250.0,5250.0,5250.0,5250.0,34.0
2021-05-18,5300.0,5300.0,5300.0,5300.0,33.0
2021-05-19,5300.0,5300.0,5300.0,5300.0,580.0
2021-05-20,5300.0,5400.0,5300.0,5400.0,265.0
2021-05-21,5640.0,5640.0,5640.0,5640.0,50.0
2021-05-24,5640.0,5640.0,5640.0,5640.0,50.0
2021-05-25,5300.0,5300.0,5300.0,5300.0,1646.0
2021-05-26,5155.0,5300.0,5155.0,5300.0,614.0
2021-05-28,5300.0,5500.0,5300.0,5500.0,14.0
2021-05-31,5500.0,5500.0,5500.0,5500.0,16.0
2021-06-01,5500.0,5500.0,5320.0,5320.0,277.0
2021-06-02,5500.0,5500.0,5300.0,5300.0,1498.0
2021-06-03,5300.0,5300.0,5300.0,5300.0,250.0
2021-06-04,5200.0,5300.0,5200.0,5300.0,2265.0
2021-06-07,5300.0,5305.0,5300.0,5305.0,450.0
2021-06-08,5640.0,5640.0,5640.0,5640.0,34.0
2021-06-09,5640.0,5795.0,5640.0,5795.0,120.0
2021-06-10,5790.0,5790.0,5790.0,5790.0,511.0
2021-06-11,5700.0,5750.0,5700.0,5750.0,4.0
2021-06-14,5600.0,5600.0,5600.0,5600.0,140.0
2021-06-15,5500.0,5500.0,5400.0,5400.0,1477.0
2021-06-16,5355.0,5355.0,5300.0,5300.0,950.0
2021-06-17,5400.0,5400.0,5400.0,5400.0,623.0
2021-06-18,5680.0,5680.0,5680.0,5680.0,345.0
2021-06-21,5700.0,5750.0,5700.0,5750.0,112.0
2021-06-22,5695.0,5700.0,5695.0,5700.0,50.0
2021-06-23,5600.0,5600.0,5600.0,5600.0,43.0
2021-06-24,5200.0,5200.0,5200.0,5200.0,192.0
2021-06-25,5200.0,5300.0,5200.0,5300.0,499.0
2021-06-28,5325.0,5325.0,5300.0,5300.0,180.0
2021-07-01,5500.0,5500.0,5350.0,5350.0,70.0
2021-07-02,5600.0,5600.0,5600.0,5600.0,20.0
2021-07-05,5350.0,5480.0,5350.0,5480.0,318.0
2021-07-06,5480.0,5480.0,5480.0,5480.0,70.0
2021-07-07,5480.0,5490.0,5480.0,5490.0,366.0
2021-07-08,5485.0,5485.0,5450.0,5450.0,600.0
2021-07-09,5450.0,5450.0,5350.0,5350.0,1730.0
2021-07-12,5450.0,5450.0,5350.0,5350.0,33.0
2021-07-13,5350.0,5350.0,5350.0,5350.0,166.0
2021-07-14,5350.0,5350.0,5350.0,5350.0,432.0
2021-07-15,5350.0,5600.0,5350.0,5600.0,20.0
2021-07-16,5355.0,5365.0,5355.0,5365.0,90.0
2021-07-19,5550.0,5550.0,5500.0,5500.0,1070.0
2021-07-20,5550.0,5550.0,5500.0,5500.0,1070.0
2021-07-21,5500.0,5500.0,5500.0,5500.0,20.0
2021-07-22,5900.0,5900.0,5500.0,5500.0,11.0
2021-07-23,5500.0,5500.0,5355.0,5355.0,320.0
2021-07-26,5365.0,5370.0,5365.0,5370.0,216.0
2021-07-27,5770.0,5770.0,5770.0,5770.0,261.0
2021-07-28,5760.0,5760.0,5760.0,5760.0,10.0
2021-07-29,5600.0,5600.0,5600.0,5600.0,2.0
2021-07-30,5700.0,5700.0,5700.0,5700.0,15.0
2021-08-03,5505.0,5505.0,5505.0,5505.0,34.0
2021-08-04,5735.0,5750.0,5735.0,5750.0,2049.0
2021-08-05,5600.0,5750.0,5600.0,5750.0,6224.0
2021-08-06,5750.0,5750.0,5750.0,5750.0,376.0
2021-08-09,5760.0,5760.0,5750.0,5750.0,417.0
2021-08-10,5760.0,5995.0,5760.0,5995.0,203.0
2021-08-11,5995.0,6195.0,5995.0,6195.0,394.0
2021-08-12,6195.0,6195.0,6195.0,6195.0,8.0
2021-08-13,6185.0,6185.0,6185.0,6185.0,27.0
2021-08-16,6190.0,6190.0,6190.0,6190.0,7.0
2021-08-17,6000.0,6180.0,6000.0,6180.0,612.0
2021-08-18,6190.0,6190.0,6190.0,6190.0,100.0
2021-08-20,6175.0,6175.0,6175.0,6175.0,10.0
2021-08-23,6175.0,6175.0,6170.0,6170.0,71.0
2021-08-24,6010.0,6010.0,6000.0,6000.0,521.0
2021-08-25,6000.0,6000.0,6000.0,6000.0,29.0
2021-08-26,6000.0,6000.0,6000.0,6000.0,5.0
2021-08-27,5800.0,5800.0,5800.0,5800.0,137.0
2021-08-30,5800.0,5800.0,5800.0,5800.0,160.0
2021-08-31,5800.0,6000.0,5800.0,6000.0,1680.0
2021-09-01,6000.0,6000.0,6000.0,6000.0,37.0
2021-09-02,6200.0,6200.0,6200.0,6200.0,350.0
2021-09-03,6500.0,6500.0,6500.0,6500.0,15.0
2021-09-06,6495.0,6500.0,6495.0,6500.0,20.0
2021-09-07,6500.0,6500.0,6500.0,6500.0,10.0
2021-09-08,6495.0,6495.0,6495.0,6495.0,20.0
2021-09-09,6100.0,6100.0,6100.0,6100.0,55.0
2021-09-10,6300.0,6300.0,6100.0,6100.0,106.0
2021-09-13,6100.0,6100.0,6100.0,6100.0,486.0
2021-09-14,6100.0,6100.0,6100.0,6100.0,82.0
2021-09-15,5645.0,6495.0,5645.0,6495.0,1655.0
2021-09-16,6495.0,6495.0,6495.0,6495.0,14.0
2021-09-17,6130.0,6495.0,6130.0,6495.0,143.0
2021-09-20,6475.0,6475.0,6450.0,6450.0,24.0
2021-09-21,6475.0,6475.0,6100.0,6100.0,75.0
2021-09-22,5700.0,6300.0,5700.0,6300.0,536.0
2021-09-23,6200.0,6250.0,6200.0,6250.0,11.0
2021-09-24,6250.0,6250.0,6250.0,6250.0,271.0
2021-09-27,6250.0,6250.0,6250.0,6250.0,6.0
2021-09-28,6100.0,6100.0,6100.0,6100.0,13.0
2021-09-29,6100.0,6250.0,6100.0,6250.0,61.0
2021-09-30,6100.0,6100.0,6100.0,6100.0,357.0
2021-10-01,6050.0,6100.0,6050.0,6100.0,23.0
2021-10-04,5645.0,6250.0,5645.0,6250.0,1143.0
2021-10-05,6250.0,6250.0,6250.0,6250.0,102.0
2021-10-06,6200.0,6245.0,6200.0,6245.0,100.0
2021-10-07,6200.0,6200.0,5900.0,5900.0,180.0
2021-10-08,6200.0,6200.0,6150.0,6150.0,140.0
2021-10-11,5915.0,6190.0,5915.0,6190.0,249.0
2021-10-12,6190.0,6190.0,6190.0,6190.0,40.0
2021-10-14,6000.0,6400.0,6000.0,6400.0,41.0
2021-10-15,6000.0,6400.0,6000.0,6400.0,206.0
2021-10-18,6000.0,6400.0,6000.0,6400.0,206.0
2021-10-21,6000.0,6300.0,6000.0,6300.0,59.0
2021-10-22,6300.0,6300.0,6200.0,6200.0,76.0
2021-10-25,6400.0,6400.0,6200.0,6200.0,3359.0
2021-10-26,6400.0,6400.0,6400.0,6400.0,1.0
2021-10-27,6000.0,6000.0,6000.0,6000.0,195.0
2021-10-28,5995.0,5995.0,5995.0,5995.0,367.0
2021-10-29,5950.0,6000.0,5950.0,6000.0,287.0
2021-11-01,5950.0,6000.0,5950.0,6000.0,287.0
2021-11-02,5940.0,6000.0,5940.0,6000.0,33.0
2021-11-03,5955.0,6000.0,5955.0,6000.0,110.0
2021-11-04,6000.0,6000.0,6000.0,6000.0,1020.0
2021-11-05,6000.0,6000.0,6000.0,6000.0,10.0
2021-11-08,5955.0,5990.0,5955.0,5990.0,77.0
2021-11-09,5990.0,5990.0,5990.0,5990.0,25.0
2021-11-10,5955.0,5955.0,5955.0,5955.0,220.0
2021-11-11,5955.0,5990.0,5955.0,5990.0,31.0
2021-11-12,5990.0,6000.0,5990.0,6000.0,813.0
2021-11-15,5990.0,6000.0,5990.0,6000.0,813.0
2021-11-16,5995.0,6000.0,5995.0,6000.0,139.0
2021-11-17,5995.0,5995.0,5995.0,5995.0,257.0
2021-11-18,5995.0,6000.0,5995.0,6000.0,4883.0
2021-11-19,5990.0,6000.0,5990.0,6000.0,290.0
2021-11-22,5990.0,5990.0,5990.0,5990.0,79.0
2021-11-23,5995.0,6000.0,5995.0,6000.0,1204.0
2021-11-24,5990.0,6000.0,5990.0,6000.0,160.0
2021-11-25,6000.0,6000.0,6000.0,6000.0,425.0
2021-11-29,6000.0,6000.0,6000.0,6000.0,20.0
2021-11-30,5980.0,6000.0,5980.0,6000.0,53.0
2021-12-01,6000.0,6000.0,6000.0,6000.0,405.0
2021-12-02,6000.0,6000.0,6000.0,6000.0,1140.0
2021-12-03,6000.0,6000.0,6000.0,6000.0,466.0
2021-12-06,5995.0,6000.0,5995.0,6000.0,2483.0
2021-12-07,6000.0,6000.0,6000.0,6000.0,2000.0
2021-12-08,6000.0,6000.0,6000.0,6000.0,3880.0
2021-12-09,6000.0,6000.0,6000.0,6000.0,5730.0
2021-12-10,6000.0,6000.0,6000.0,6000.0,7280.0
2021-12-13,6000.0,6000.0,6000.0,6000.0,84407.0
2021-12-14,6200.0,6445.0,6200.0,6445.0,4246.0
2021-12-15,6445.0,6800.0,6445.0,6800.0,3993.0
2021-12-16,6800.0,6890.0,6800.0,6890.0,2435.0
2021-12-17,6375.0,6800.0,6375.0,6800.0,2.0
2021-12-20,6600.0,7000.0,6600.0,7000.0,31021.0
2021-12-21,7000.0,7000.0,7000.0,7000.0,11.0
2021-12-23,6950.0,7000.0,6950.0,7000.0,1013.0
2021-12-24,7000.0,7000.0,7000.0,7000.0,260.0
2021-12-27,6990.0,7525.0,6990.0,7525.0,33045.0
2021-12-28,7525.0,7525.0,7525.0,7525.0,1100.0
2021-12-29,7525.0,7525.0,7525.0,7525.0,2875.0
2021-12-30,6965.0,7500.0,6965.0,7500.0,2953.0
2021-12-31,7400.0,7400.0,7400.0,7400.0,300.0
2022-01-03,7250.0,7250.0,7250.0,7250.0,5.0
2022-01-04,6710.0,6710.0,6710.0,6710.0,5.0
2022-01-05,6210.0,6210.0,6210.0,6210.0,5.0
2022-01-07,6100.0,6100.0,6100.0,6100.0,90.0
2022-01-10,6100.0,6100.0,6050.0,6050.0,1530.0
2022-01-11,6100.0,6100.0,6000.0,6000.0,1885.0
2022-01-12,6000.0,6000.0,6000.0,6000.0,40.0
2022-01-13,6000.0,6000.0,6000.0,6000.0,10.0
2022-01-17,6000.0,6000.0,6000.0,6000.0,3005.0
2022-01-18,6400.0,6400.0,6400.0,6400.0,1.0
2022-01-20,6000.0,6000.0,6000.0,6000.0,3329.0
2022-01-21,6000.0,6400.0,6000.0,6400.0,31.0
2022-01-24,6400.0,6425.0,6400.0,6425.0,132.0
2022-01-25,6410.0,6410.0,6410.0,6410.0,100.0
2022-01-27,6400.0,6400.0,6100.0,6100.0,55.0
2022-01-28,6000.0,6000.0,6000.0,6000.0,102.0
2022-01-31,6000.0,6000.0,6000.0,6000.0,11.0
2022-02-01,6000.0,6000.0,6000.0,6000.0,4170.0
2022-02-02,6000.0,6000.0,5925.0,5925.0,33.0
2022-02-03,5925.0,5925.0,5800.0,5800.0,928.0
2022-02-04,5800.0,5915.0,5800.0,5915.0,130.0
2022-02-07,5915.0,6300.0,5915.0,6300.0,151.0
2022-02-08,6295.0,6295.0,6295.0,6295.0,31.0
2022-02-09,6295.0,6295.0,6295.0,6295.0,20.0
2022-02-10,5855.0,5860.0,5855.0,5860.0,150.0
2022-02-11,5865.0,6290.0,5865.0,6290.0,12.0
2022-02-15,6250.0,6250.0,6250.0,6250.0,122.0
2022-02-16,6280.0,6280.0,6280.0,6280.0,25.0
2022-02-17,6280.0,6280.0,6200.0,6200.0,211.0
2022-02-18,6200.0,6200.0,6200.0,6200.0,1982.0
2022-02-21,6200.0,6200.0,6200.0,6200.0,262.0
2022-02-22,6200.0,6200.0,6010.0,6010.0,1275.0
2022-02-24,6020.0,6020.0,6020.0,6020.0,15.0
2022-02-25,6020.0,6400.0,6020.0,6400.0,1105.0
2022-02-28,6050.0,6050.0,6050.0,6050.0,123.0
2022-03-01,6050.0,6050.0,6050.0,6050.0,1797.0
2022-03-02,6050.0,6050.0,6000.0,6000.0,64.0
2022-03-03,5950.0,6000.0,5950.0,6000.0,444.0
2022-03-04,6195.0,6195.0,6100.0,6100.0,1159.0
2022-03-07,6000.0,6000.0,6000.0,6000.0,388.0
2022-03-08,6000.0,6000.0,6000.0,6000.0,158.0
2022-03-09,6000.0,6000.0,5950.0,5950.0,22.0
2022-03-10,5900.0,5900.0,5900.0,5900.0,157.0
2022-03-11,5900.0,6000.0,5900.0,6000.0,187.0
2022-03-14,6000.0,6000.0,5990.0,5990.0,95.0
2022-03-15,5900.0,5990.0,5900.0,5990.0,18.0
2022-03-16,5990.0,5990.0,5990.0,5990.0,1.0
2022-03-17,5990.0,5990.0,5990.0,5990.0,821.0
2022-03-18,5900.0,6000.0,5900.0,6000.0,1000.0
2022-03-21,6000.0,6000.0,6000.0,6000.0,3031.0
2022-03-22,5900.0,5900.0,5900.0,5900.0,90.0
2022-03-23,5900.0,5990.0,5900.0,5990.0,506.0
2022-03-24,5990.0,6000.0,5990.0,6000.0,1367.0
2022-03-25,5810.0,6000.0,5810.0,6000.0,22.0
2022-03-28,5815.0,6400.0,5815.0,6400.0,1006.0
2022-03-29,6390.0,6390.0,6070.0,6070.0,59.0
2022-03-30,6395.0,6395.0,6390.0,6390.0,630.0
2022-03-31,6390.0,6395.0,6390.0,6395.0,10.0
2022-04-01,6300.0,6300.0,6000.0,6000.0,46.0
2022-04-04,5900.0,5900.0,5900.0,5900.0,2636.0
2022-04-05,6000.0,6340.0,6000.0,6340.0,40.0
2022-04-06,6340.0,6340.0,6335.0,6335.0,165.0
2022-04-07,6330.0,6340.0,6330.0,6340.0,15417.0
2022-04-08,6340.0,6340.0,6250.0,6250.0,2105.0
2022-04-11,6000.0,6000.0,6000.0,6000.0,2401.0
2022-04-12,6000.0,6000.0,6000.0,6000.0,365.0
2022-04-13,6000.0,6295.0,6000.0,6295.0,990.0
2022-04-14,6250.0,6295.0,6250.0,6295.0,495.0
2022-04-15,6285.0,6350.0,6285.0,6350.0,935.0
2022-04-19,6200.0,6200.0,6200.0,6200.0,20.0
